no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,honsuji7,bonus_suji1,bonus_suji2
327,20190726,01,03,13,14,16,30,31,02,17
328,20190802,03,09,10,14,19,24,30,18,21
329,20190809,03,10,19,20,26,28,30,15,25
330,20190816,03,04,10,12,17,18,20,19,32
331,20190823,05,07,11,12,15,18,20,19,30
332,20190830,05,07,10,15,24,27,30,03,33
333,20190906,01,04,10,11,16,24,34,30,32
334,20190913,03,07,15,16,30,34,35,08,29
335,20190920,09,10,17,18,22,25,35,13,14
336,20190927,09,10,13,21,25,31,33,24,37
337,20191004,05,07,10,12,14,24,35,11,33
338,20191011,07,09,16,17,23,27,34,15,36
339,20191018,11,15,18,20,23,25,32,09,37
340,20191025,06,14,17,26,27,30,36,12,28
341,20191101,04,11,17,27,29,31,36,19,24
342,20191108,03,06,24,28,32,35,36,04,08
343,20191115,17,19,22,29,30,31,32,11,16
344,20191122,11,19,28,29,31,32,37,12,21
345,20191129,06,09,10,18,28,31,32,24,35
346,20191206,11,16,18,23,30,31,35,03,27
347,20191213,03,06,11,13,18,20,34,25,35
348,20191220,02,05,17,18,19,20,33,01,24
349,20191227,04,10,11,15,18,22,34,16,32
350,20200110,10,19,21,23,24,30,37,02,28
351,20200117,08,13,17,19,23,25,28,05,16
352,20200124,03,04,14,18,26,30,32,28,34
353,20200131,11,15,22,23,24,29,33,19,34
354,20200207,01,02,08,10,13,25,31,23,35
355,20200214,04,06,09,10,23,27,33,14,31
356,20200221,04,16,20,30,33,34,36,19,21
357,20200228,05,08,12,13,14,24,30,27,35
358,20200306,05,13,14,26,32,33,34,08,11
359,20200313,04,07,11,17,19,26,35,01,24
360,20200320,09,11,13,14,20,22,37,15,17
361,20200327,05,09,16,20,29,33,35,02,08
362,20200403,04,07,08,14,22,24,27,13,26
363,20200410,13,15,17,22,26,34,36,03,19
364,20200417,03,09,10,14,16,20,27,19,33
365,20200424,01,04,13,14,16,22,35,10,23
366,20200501,10,24,25,26,27,33,36,04,23
367,20200508,08,14,19,20,29,30,31,07,35
368,20200515,07,08,09,13,21,34,35,03,20
369,20200522,01,07,09,11,15,31,34,06,33
370,20200529,07,10,16,25,26,33,34,24,35
371,20200605,01,03,04,08,11,21,25,12,23
372,20200612,06,08,22,23,32,33,36,09,27
373,20200619,02,03,17,18,22,23,31,04,30
