no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,bonus_suji1
527,20101216,05,07,12,23,39,41,09
528,20101223,02,05,12,21,28,32,41
529,20101230,06,19,21,24,31,41,07
530,20110106,01,10,19,30,33,36,35
531,20110113,05,12,16,24,26,33,08
532,20110120,23,28,33,35,37,42,04
533,20110127,06,16,24,31,41,43,07
534,20110203,01,02,19,22,26,37,43
535,20110210,06,14,23,24,27,32,11
536,20110217,04,10,12,14,23,36,02
537,20110224,10,18,22,24,26,37,12
538,20110303,02,11,14,23,26,33,28
539,20110310,03,10,13,17,18,28,24
540,20110317,15,23,29,35,36,41,42
541,20110324,03,04,05,28,34,43,20
542,20110331,10,14,23,35,38,41,17
543,20110404,15,17,18,19,22,31,30
544,20110407,11,14,16,32,41,42,33
545,20110411,16,21,24,28,32,36,35
546,20110414,01,14,30,34,40,43,27
547,20110418,06,10,11,30,32,39,27
548,20110421,12,13,16,28,29,35,05
549,20110425,05,14,27,29,32,33,16
550,20110428,12,15,19,32,36,42,37
551,20110502,15,16,19,21,26,42,10
552,20110505,13,22,26,30,40,41,08
553,20110509,03,09,11,15,27,37,10
554,20110512,16,27,34,35,36,38,37
555,20110516,02,03,07,09,36,42,05
556,20110519,06,09,13,17,29,30,25
557,20110523,06,18,23,32,38,43,37
558,20110526,04,32,33,38,41,43,02
559,20110530,02,07,16,25,26,43,03
560,20110602,04,17,19,37,39,42,16
561,20110606,04,14,30,35,40,41,29
562,20110609,09,10,11,25,30,37,12
563,20110613,04,05,26,28,34,38,08
564,20110616,03,12,18,24,34,39,16
565,20110620,03,06,08,21,28,32,10
566,20110623,10,17,18,29,30,41,07
567,20110627,07,13,17,23,28,34,25
568,20110630,07,10,15,31,32,42,41
569,20110704,04,19,21,25,28,40,38
570,20110707,02,04,10,28,38,43,25
571,20110711,06,20,21,23,33,38,10
572,20110714,10,12,18,38,42,43,40
573,20110718,03,05,21,30,37,38,11
574,20110721,04,11,16,20,26,43,09
575,20110725,04,11,17,21,23,30,18
576,20110728,08,09,21,24,29,37,01
577,20110801,03,12,29,31,36,37,26
578,20110804,16,22,23,27,33,37,36
579,20110808,06,08,17,19,23,42,32
580,20110811,12,15,17,25,35,43,32
581,20110815,05,22,28,29,35,39,21
582,20110818,07,10,14,25,32,38,13
583,20110822,02,12,17,18,40,43,16
584,20110825,10,11,24,26,37,38,21
585,20110829,01,28,32,34,41,42,22
586,20110901,06,07,10,23,36,42,11
587,20110905,10,12,18,27,33,40,42
588,20110908,08,13,18,33,34,36,23
589,20110912,01,09,10,28,41,42,33
590,20110915,20,24,25,27,32,37,02
591,20110919,01,13,16,22,27,33,05
592,20110922,12,14,22,23,34,41,36
593,20110926,02,10,16,26,29,30,04
594,20110929,04,05,15,30,34,38,02
595,20111003,01,05,15,22,39,40,27
596,20111006,02,13,17,24,29,34,12
597,20111010,03,04,07,13,16,23,01
598,20111013,06,10,15,21,36,41,40
599,20111017,01,02,08,13,27,39,36
600,20111020,03,20,23,24,28,35,26
601,20111024,06,22,25,26,30,39,32
602,20111027,08,13,15,18,24,41,27
603,20111031,03,08,18,21,23,42,17
604,20111103,09,15,20,22,28,43,37
605,20111107,01,04,13,25,38,43,11
606,20111110,08,15,24,26,35,42,07
607,20111114,02,03,08,12,20,21,16
608,20111117,04,06,16,17,18,26,40
609,20111121,18,24,36,37,39,41,01
610,20111124,02,05,12,23,26,41,36
611,20111128,10,12,14,24,34,39,16
612,20111201,07,18,31,32,39,40,35
613,20111205,02,06,18,26,32,37,05
614,20111208,02,06,22,25,31,42,01
615,20111212,06,16,24,32,36,43,28
616,20111215,04,07,18,19,24,35,17
617,20111219,05,08,18,28,34,35,10
618,20111222,04,15,21,31,35,42,13
619,20111226,02,11,29,31,33,38,14
620,20111229,07,10,13,19,31,38,12
621,20120105,06,15,16,28,36,40,20
622,20120109,07,16,18,20,27,36,41
623,20120112,07,08,16,35,39,42,09
624,20120116,04,08,12,22,25,30,43
625,20120119,05,17,26,37,39,42,20
626,20120123,06,13,14,22,26,28,10
627,20120126,02,04,07,19,34,42,30
628,20120130,07,13,15,18,29,38,30
629,20120202,06,16,21,30,34,43,36
630,20120206,03,07,13,18,19,41,38
631,20120209,02,05,07,10,36,40,12
632,20120213,03,04,14,21,22,25,26
633,20120216,07,09,11,14,15,18,05
634,20120220,08,10,13,15,20,40,23
635,20120223,08,11,12,15,41,43,22
636,20120227,02,12,21,23,24,26,36
637,20120301,07,12,16,28,31,34,11
638,20120305,06,11,19,28,35,40,14
639,20120308,01,16,20,24,33,34,08
640,20120312,03,11,18,20,33,39,22
641,20120315,03,14,21,24,26,29,32
642,20120319,08,13,14,21,33,41,18
643,20120322,02,06,21,31,35,37,15
644,20120326,04,14,22,23,26,42,02
645,20120329,03,10,12,32,33,43,31
646,20120402,09,12,14,24,28,33,37
647,20120405,02,07,15,22,36,43,27
648,20120409,22,26,27,28,36,43,01
649,20120412,14,22,29,33,36,40,38
650,20120416,12,31,34,40,41,43,06
651,20120419,04,15,17,34,38,40,05
652,20120423,01,10,16,19,20,39,29
653,20120426,13,21,22,26,29,36,31
654,20120430,12,18,21,29,32,38,02
655,20120503,05,10,23,26,28,29,27
656,20120507,02,08,13,17,25,37,30
657,20120510,03,20,29,33,34,40,02
658,20120514,14,24,32,40,41,42,09
659,20120517,21,30,35,39,41,42,03
660,20120521,08,20,31,36,37,38,39
661,20120524,06,09,17,20,33,40,26
662,20120528,12,31,32,34,36,40,06
663,20120531,13,18,21,30,33,40,25
664,20120604,02,08,11,12,26,29,22
665,20120607,13,22,27,29,36,37,40
666,20120611,02,06,28,30,31,41,07
667,20120614,21,31,34,37,39,40,15
668,20120618,07,13,20,27,34,35,22
669,20120621,04,06,10,17,24,33,19
670,20120625,01,04,07,25,32,41,18
671,20120628,05,10,14,16,23,38,21
672,20120702,01,05,23,24,36,43,19
673,20120705,02,06,16,27,28,29,38
674,20120709,08,11,15,22,40,41,39
